epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.201,1.07038,2.47535,1.19258,0.4321,0.39289,0.20848,0.15196,0.98577,2.08648,1.2021,0.000253353,0.000253353,0.000253353
2,42.8504,1.02966,1.76764,1.11972,0.45204,0.31577,0.2198,0.16072,1.01924,1.69851,1.24011,0.000506883,0.000506883,0.000506883
3,64.3214,1.05845,1.68677,1.12634,0.49034,0.27665,0.2236,0.16515,0.99863,1.80772,1.21143,0.000757593,0.000757593,0.000757593
4,82.5735,1.07361,1.69851,1.14755,0.51427,0.31622,0.23897,0.16605,0.97998,1.75237,1.16438,0.000756312,0.000756312,0.000756312
5,104.138,1.01947,1.56159,1.11468,0.51993,0.38113,0.27061,0.19044,0.99024,1.63812,1.17531,0.000752082,0.000752082,0.000752082
6,122.331,1.04644,1.59155,1.12078,0.61188,0.35304,0.2867,0.2154,0.93584,1.56606,1.155,0.000747853,0.000747853,0.000747853
7,144.012,1.00427,1.56908,1.133,0.48928,0.35485,0.25866,0.195,0.95665,1.50535,1.15072,0.000743623,0.000743623,0.000743623
8,165.303,1.01777,1.50124,1.10916,0.55531,0.37283,0.31791,0.23049,0.87845,1.4278,1.11314,0.000739394,0.000739394,0.000739394
9,183.319,1.00386,1.50655,1.10807,0.47858,0.38898,0.26685,0.19363,0.92576,1.57862,1.13878,0.000735164,0.000735164,0.000735164
10,204.625,1.00728,1.50209,1.11924,0.47985,0.39108,0.31122,0.22312,0.946,1.51891,1.13294,0.000730935,0.000730935,0.000730935
11,225.889,0.98556,1.44534,1.09874,0.47078,0.4355,0.31686,0.23247,0.88955,1.42935,1.11358,0.000726705,0.000726705,0.000726705
12,243.93,1.00382,1.50992,1.12254,0.41812,0.42077,0.30731,0.22501,0.8979,1.63334,1.12694,0.000722476,0.000722476,0.000722476
13,265.151,0.98535,1.4127,1.09289,0.41783,0.45065,0.31449,0.22415,0.9335,1.49308,1.1266,0.000718246,0.000718246,0.000718246
14,283.005,1.00308,1.47989,1.10385,0.40513,0.4099,0.3043,0.2245,0.88593,1.43916,1.10268,0.000714016,0.000714016,0.000714016
15,304.584,0.98751,1.46552,1.12265,0.43816,0.4116,0.3342,0.24441,0.89332,1.34726,1.12981,0.000709787,0.000709787,0.000709787
16,325.921,0.95955,1.44169,1.09806,0.34867,0.45182,0.33637,0.25262,0.89716,1.47603,1.13045,0.000705558,0.000705558,0.000705558
17,344.527,0.98794,1.41678,1.10577,0.28293,0.47641,0.32184,0.23879,0.88431,1.41513,1.14407,0.000701328,0.000701328,0.000701328
18,365.803,0.94496,1.42878,1.10461,0.27064,0.41325,0.32195,0.24259,0.87731,1.3652,1.12263,0.000697099,0.000697099,0.000697099
19,383.718,0.9609,1.38719,1.0911,0.48257,0.39791,0.36491,0.25896,0.91731,1.49087,1.14586,0.000692869,0.000692869,0.000692869
20,405.132,0.97141,1.36971,1.09904,0.44431,0.4386,0.36318,0.26894,0.88351,1.39848,1.11477,0.00068864,0.00068864,0.00068864
21,426.529,0.95506,1.47599,1.08872,0.36473,0.40562,0.28892,0.21347,0.89076,1.466,1.13569,0.00068441,0.00068441,0.00068441
22,444.294,0.93254,1.39357,1.0826,0.54372,0.38692,0.33902,0.25613,0.84249,1.44161,1.11469,0.000680181,0.000680181,0.000680181
23,465.642,0.92424,1.32228,1.07273,0.30068,0.35079,0.30268,0.22376,0.87115,1.47322,1.11564,0.000675951,0.000675951,0.000675951
24,483.405,0.91574,1.38019,1.08536,0.43605,0.36802,0.34563,0.25461,0.89254,1.49431,1.1235,0.000671722,0.000671722,0.000671722
25,504.468,0.9429,1.32308,1.07947,0.34226,0.42098,0.34971,0.25456,0.83663,1.34772,1.09222,0.000667492,0.000667492,0.000667492
26,522.375,0.91053,1.32462,1.07188,0.47855,0.33125,0.3736,0.27219,0.84455,1.34911,1.10274,0.000663263,0.000663263,0.000663263
27,543.741,0.89296,1.31308,1.06283,0.42152,0.39675,0.36235,0.26425,0.8312,1.39483,1.0957,0.000659033,0.000659033,0.000659033
28,565.04,0.91236,1.35055,1.06022,0.39278,0.44539,0.32925,0.25077,0.80904,1.36359,1.09502,0.000654804,0.000654804,0.000654804
29,583.048,0.90495,1.31927,1.06479,0.51813,0.41021,0.35067,0.24734,0.84793,1.38672,1.12019,0.000650574,0.000650574,0.000650574
30,604.533,0.88507,1.33728,1.06673,0.35332,0.43361,0.32221,0.23882,0.85365,1.40757,1.11441,0.000646345,0.000646345,0.000646345
31,625.92,0.91142,1.28446,1.06588,0.35516,0.42772,0.37722,0.27671,0.83794,1.28927,1.08499,0.000642115,0.000642115,0.000642115
32,644.331,0.91452,1.33561,1.07324,0.52249,0.36673,0.34681,0.25521,0.89658,1.39193,1.12476,0.000637885,0.000637885,0.000637885
33,665.43,0.89178,1.25171,1.06255,0.49683,0.45303,0.364,0.26601,0.84399,1.33248,1.11008,0.000633656,0.000633656,0.000633656
34,683.863,0.89759,1.28385,1.05383,0.47463,0.45989,0.36221,0.26751,0.83092,1.31556,1.09671,0.000629427,0.000629427,0.000629427
35,705.934,0.91819,1.3224,1.07325,0.37281,0.42203,0.3636,0.27178,0.82993,1.37224,1.10065,0.000625197,0.000625197,0.000625197
36,727.703,0.88251,1.24598,1.04412,0.45527,0.40409,0.34944,0.25409,0.83526,1.39111,1.09318,0.000620968,0.000620968,0.000620968
37,746.415,0.90055,1.2934,1.07143,0.52956,0.41488,0.36113,0.27117,0.84969,1.37261,1.10733,0.000616738,0.000616738,0.000616738
38,768.54,0.88976,1.25642,1.05341,0.54639,0.4213,0.38314,0.28339,0.84269,1.29995,1.11398,0.000612509,0.000612509,0.000612509
39,786.878,0.86591,1.25674,1.0532,0.35894,0.44885,0.36296,0.27088,0.86648,1.325,1.12307,0.000608279,0.000608279,0.000608279
40,808.292,0.87099,1.22731,1.04388,0.51295,0.45137,0.36922,0.27519,0.82901,1.3009,1.10462,0.00060405,0.00060405,0.00060405
41,830.301,0.86314,1.23235,1.0368,0.49355,0.35805,0.31729,0.24459,0.79704,1.39356,1.08541,0.00059982,0.00059982,0.00059982
